title,description,genres
Brave Citizen,expelled boxing champion highschool teacher witnesses intolerable violence throws first punch build justice putting mask,"Action, Drama, Comedy"
Conjuring the Cult,discovering bloodsoaked daughter dead bathtub david bryson attends selfhelp group help save ghostly nightmares group mysterious cultlike women offer help resurrect daughter davids choices decide fate fate dead daughters soul,"Horror, Drama"
In the Lost Lands,queen sends powerful feared sorceress gray alys ghostly wilderness lost lands search magical power guide drifter boyce must outwit outfight man demon,"Action, Fantasy, Adventure"
Captain America: Brave New World,meeting newly elected us president thaddeus ross sam finds middle international incident must discover reason behind nefarious global plot true mastermind entire world seeing red,"Action, Thriller, Science Fiction"
Lilo & Stitch,wildly funny touching story lonely hawaiian girl fugitive alien helps mend broken family,"Family, Comedy, Science Fiction"
From the Shadows,dr joseph cawl members hidden wisdom cult die mysterious fire survivors contact paranormal expert find truth discover makes next target deranged killer,"Thriller, Science Fiction, Horror"
Havoc,drug heist swerves lethally control jaded cop fights way corrupt citys criminal underworld save politicians son,"Action, Crime, Thriller"
Rust,infamous outlaw harland rust breaks estranged grandson lucas prison lucas convicted hang accidental murder two must outrun legendary us marshal wood helm bounty hunter fenton preacher lang hot tails deeply buried secrets rise ashes unexpected familial bond begins form mismatched duo tries survive merciless american frontier,Western
Sinners,trying leave troubled lives behind twin brothers return hometown start discover even greater evil waiting welcome back,"Horror, Thriller"
My Massive Cock,extralarge penis object desire many men extralarge seriously complicates lives relationships penis reduction surgery seems answer,Documentary
"¡Qué Huevos, Sofía!",sofia gives everything company works position promised given owners niece colleagues tired working unbearable boss quit start bakery consider exboss rest sees fail,Comedy
Laila,sonu model renowned beautician old city forced disguise laila leading series comedic romantic actionpacked events chaos ensues hilarious laugh riot,"Comedy, Romance"
Moana 2,receiving unexpected call wayfinding ancestors moana journeys alongside maui new crew far seas oceania dangerous longlost waters adventure unlike anything ever faced,"Animation, Adventure, Family, Comedy"
Jewel Thief: The Heist Begins,highoctane battle wits wills ingenious con artist rehan devises diamond heist trying outsmart rajan sadistic adversary,"Action, Thriller"
Karate Kid: Legends,family tragedy kung fu prodigy li fong uprooted home beijing forced move new york city mother new friend needs help li enters karate competition – skills alone enough lis kung fu teacher mr han enlists original karate kid daniel larusso help li learns new way fight merging two styles one ultimate martial arts showdown,"Action, Adventure, Drama"
Death of a Unicorn,father daughter accidentally hit kill unicorn en route weekend retreat billionaire boss seeks exploit creature’s miraculous curative properties,"Horror, Fantasy, Comedy"
Final Destination,teenager terrifying vision friends dying plane crash prevents accident death hunt one one,Horror
Stream,craven streamer thousands followers live streaming platform prepared special stream halloween one expects reacting video pentagram group young paranormal investigators live experience turn worst night lives maybe last,Horror
Mufasa: The Lion King,mufasa cub lost alone meets sympathetic lion named taka heir royal bloodline chance meeting sets motion expansive journey group misfits searching destiny,"Adventure, Family, Animation"
The Monkey,twin brothers find mysterious windup monkey series outrageous deaths tear family apart twentyfive years later monkey begins new killing spree forcing estranged brothers confront cursed toy,"Horror, Comedy"
Saint Catherine,orphaned girl rescued satanic ritual taken saint catherine institute homeless youth learn new skills facing demons stalk,Horror
Bad Influence,excon gets fresh start hired protect wealthy heiress stalker — chemistry hard resist grow closer,"Thriller, Drama, Romance"
The Legend of Ochi,remote village island carpathia shy farm girl named yuri raised fear elusive animal species known ochi yuri discovers wounded baby ochi left behind escapes quest bring home,"Fantasy, Adventure, Family"
Final Destination 5,death omnipresent ever unleashed one man’s premonition saves group coworkers terrifying suspension bridge collapse group unsuspecting souls never supposed survive terrifying race time illfated group frantically tries discover way escape death’s sinister agenda,"Horror, Mystery"
Vini Jr.,vini jr talent resilience boldness follow dancing unpredictable feet inspiring journey becoming global soccer star,Documentary
Sonic the Hedgehog 3,sonic knuckles tails reunite powerful new adversary shadow mysterious villain powers unlike anything faced abilities outmatched every way team sonic must seek unlikely alliance hopes stopping shadow protecting planet,"Action, Science Fiction, Comedy, Family"
Bullet Train Explosion,panic erupts tokyobound bullet train explode slows 100 kph authorities race time save everyone board,"Action, Thriller, Crime, Drama"
Van Gogh by Vincent,career lasted ten years vincent van gogh painted one subject story vincent told using eight iconic selfportraits,Documentary
Desert Dawn,newly appointed smalltown sheriff begrudging deputy get tangled web lies corruption involving shady businessmen cartel investigating murder mysterious woman,"Action, Crime, Mystery, Thriller"
Novocaine,girl dreams kidnapped everyman nate turns inability feel pain unexpected strength fight get back,"Action, Comedy, Thriller"
G20,g20 summit overtaken terrorists president danielle sutton must bring statecraft military experience defend family fellow leaders,"Action, Mystery, Drama"
Ask Me What You Want,fathers death eric zimmerman travels spain oversee companys branches madrid falls judith engage intense erotic relationship full exploration however eric fears secret may end affair,"Romance, Drama"
Mission: Impossible - Dead Reckoning Part One,ethan hunt imf team embark dangerous mission yet track terrifying new weapon threatens humanity falls wrong hands control future worlds fate stake dark forces ethans past closing deadly race around globe begins confronted mysterious allpowerful enemy ethan must consider nothing matter mission—not even lives cares,"Action, Adventure, Thriller"
Day of Reckoning,putupon lawman john dorsey verge losing wife job sheriff posses bullish us marshall butch hayden hold outlaw emily rusk hostage battle wills ensues emily turns posse marauding husband gang approach emily john realize need survive,"Western, Action"
My Fault,noah must leave city boyfriend friends move william leisters mansion flashy wealthy husband mother rafaela proud independent 17 year old noah resists living mansion surrounded luxury however meets nick new stepbrother clash strong personalities becomes evident beginning,"Romance, Drama"
Final Destination 2,kimberly violent premonition highway pileup blocks freeway keeping others meant die safeor survivors mysteriously start dying kimberly stop next,"Horror, Mystery"
xXx,xander cage standard adrenaline junkie fear lousy attitude us government recruits go mission exactly thrilled mission gather information organization may planning destruction world led nihilistic yorgi,"Action, Adventure, Thriller, Crime"
The Gorge,two highly trained operatives grow close distance sent guard opposite sides mysterious gorge evil emerges must work together survive lies within,"Romance, Science Fiction, Thriller"
Marked Men: Rule + Shaw,shaw landon loved rule archer moment laid eyes rule fierytempered rebel tattoo artist doesn’t time good girl premed student like shaw — even she’s one see person truly lives people’s rules makes short skirt many birthday cocktails spilled secrets lead night neither forget shaw rule must figure girl like guy like supposed together without destroying love…or,"Romance, Drama"
The Siege,international assassin walker compromised mission sent reassignment center new identity stay facility ruthless assault team storms compound searching someone boss lost walker begrudgingly falls skilled hitwoman elda mysterious ward juliet order survive night,"Action, Thriller"
Flight Risk,us marshal escorts government witness trial accused getting involved mob boss discover pilot transporting also hitman sent assassinate informant subdue forced fly together discovering others attempting eliminate,"Action, Thriller"
Drop,violet widowed mother first date years arrives upscale restaurant relieved date henry charming handsome expected chemistry begins curdle violet begins irritated terrorized series anonymous drops phone,"Mystery, Thriller"
The Wild Robot,shipwreck intelligent robot called roz stranded uninhabited island survive harsh environment roz bonds islands animals cares orphaned baby goose,"Animation, Science Fiction, Family"
The Enforcer,noir thriller set miami film follows enforcer discovers femme fatale boss branched cyber sex trafficking putting young runaway he’s befriended risk sacrifices everything save young girl deadly organization he’s spent life building,"Action, Crime, Drama"
The Final Destination,horrifying premonition saves young man friends death racetrack accident terrible fates await nonetheless,"Horror, Mystery"
Summer of 69,effort land guy pining since grade school abby hires local stripper named santa monica teach everything needs know confidence sex,"Comedy, Drama"
Devara: Part 1,devara fearless man coastal region embarks perilous journey treacherous world sea safeguard lives people unbeknownst brother bhaira plotting conspiracy events unfold devara passes legacy mildmannered timid son varada,"Action, Drama"
Stepmom's Desire,sangjin envious neighbor getting beautiful wife ask wifes friend gian take sons extracurricular teacher sangjin left work early accidentally sees gians shower man wants sex sons tutor son wants good time young stepmom jian jinhee want money disappointed husband binjin gives body young son,"Drama, Romance"
Final Destination 3,high school senior wendys premonition deadly rollercoaster ride saves life lucky death — seeks escaped fate,"Horror, Mystery"
Believers,small island somewhere near japan three cult members devoted deserted island program calling rank peopletwo men one womenhave chosen superiors throw corrupt influence modern society purify time passes two members begin give human desire,Drama
Venom: The Last Dance,eddie venom run hunted worlds net closing duo forced devastating decision bring curtains venom eddies last dance,"Action, Science Fiction, Adventure"
Deadpool & Wolverine,listless wade wilson toils away civilian life days morally flexible mercenary deadpool behind homeworld faces existential threat wade must reluctantly suitup even reluctant wolverine,"Action, Comedy, Science Fiction"
Lilo & Stitch,stitch runaway genetic experiment faraway planet wreaks havoc hawaiian islands becomes mischievous adopted alien puppy independent little girl named lilo learns loyalty friendship ʻohana hawaiian tradition family,"Animation, Family, Comedy"
The Accountant²,old acquaintance murdered wolff compelled solve case realizing extreme measures necessary wolff recruits estranged highly lethal brother brax help partnership marybeth medina uncover deadly conspiracy becoming targets ruthless network killers stop nothing keep secrets buried,"Crime, Thriller, Action"
Another Simple Favor,stephanie emily reunite beautiful island capri italy emilys extravagant wedding rich italian businessman along glamorous guests expect murder betrayal rsvp wedding twists turns road marina grande capri town square,"Thriller, Comedy, Crime"
The Substance,fading celebrity decides use black market drug cellreplicating substance temporarily creates younger better version,"Horror, Science Fiction"
The Ugly Stepsister,fairytale kingdom beauty brutal business elvira battles compete incredibly beautiful stepsister go length catch prince’s eye,"Horror, Drama"
The Woman in the Yard,aftermath husbands death widow ramonas struggle raise two kids hindered arrival mysterious woman supernatural abilities,"Horror, Mystery"
Kraven the Hunter,kraven kravinoffs complex relationship ruthless gangster father nikolai starts path vengeance brutal consequences motivating become greatest hunter world also one feared,"Action, Adventure, Thriller"
Gladiator II,years witnessing death revered hero maximus hands uncle lucius forced enter colosseum home conquered tyrannical emperors lead rome iron fist rage heart future empire stake lucius must look past find strength honor return glory rome people,"Action, Adventure, Drama"
Locked,eddie breaks luxury suv steps deadly trap set william selfproclaimed vigilante delivering brand twisted justice means escape eddie must fight survive ride escape illusion survival nightmare justice shifts high gear,Thriller
Inside Out 2,teenager rileys mind headquarters undergoing sudden demolition make room something entirely unexpected new emotions joy sadness anger fear disgust who’ve long running successful operation accounts aren’t sure feel anxiety shows looks like she’s alone,"Animation, Adventure, Comedy, Family"
Despicable Me 4,gru lucy girls—margo edith agnes—welcome new member gru family gru jr intent tormenting dad gru also faces new nemesis maxime le mal femme fatale girlfriend valentina forcing family go run,"Animation, Family, Comedy, Science Fiction"
Mickey 17,unlikely hero mickey barnes finds extraordinary circumstance working employer demands ultimate commitment job… die living,"Science Fiction, Comedy, Adventure"
Mission: Impossible,ethan hunt leader crack espionage team whose perilous operation gone awry explanation discovers mole penetrated cia surprised learn prime suspect clear name hunt must ferret real double agent process even score,"Adventure, Action, Thriller"
Nonnas,losing beloved mother man risks everything honor opening italian restaurant actual nonnas — grandmothers — chefs,Comedy
Amaran,heroic true story major mukund varadarajan indian army officer displayed extraordinary bravery counterterrorism mission kashmir’s shopian district film captures courage protecting nation devotion wife indhu rebecaa varghese,"Action, Drama, Adventure, War"
The Goldsmith's Secret,1999 goldsmith revisits hometown triggering memories summer love affair seamstress 25 years prior despite age gap vows rewrite story struggles find upon return,"Drama, Romance"
Your Fault,love noah nick seems unwavering despite parents attempts separate job entry college open lives new relationships shake foundations relationship leister family,"Romance, Drama"
Flow,solitary cat displaced great flood finds refuge boat various species must navigate challenges adapting transformed world together,"Animation, Fantasy, Adventure"
Conclave,unexpected death pope cardinal lawrence tasked managing covert ancient ritual electing new one sequestered vatican catholic church’s powerful leaders process complete lawrence finds center conspiracy could lead downfall,"Drama, Thriller, Mystery"
Gunslingers,wanted man america surfaces small kentucky town violent history bloodthirsty mob seeking vengeance king’s ransom soon follow brothers face one another bullets tear town shreds lightningfast gunslinger makes enemies pay ultimate price greed,"Western, Action"
Ligaw,sultry woman charms hearts men remote province dolores devoted wife paraplegic husband falls young mountaineer begins reckless escape turns affair drenched passion secrecy,"Drama, Romance"
Jurassic World Rebirth,five years events jurassic world dominion covert operations expert zora bennett contracted lead skilled team topsecret mission secure genetic material worlds three massive dinosaurs zoras operation intersects civilian family whose boating expedition capsized find stranded island come facetoface sinister shocking discovery thats hidden world decades,"Science Fiction, Adventure, Thriller, Horror"
Mr. K,mr k traveling magician finds kafkaesque nightmare can’t find exit hotel slept attempts get pull deeper entangling hotel curious inhabitants,"Drama, Mystery"
Kung Fu Panda 4,po gearing become spiritual leader valley peace also needs someone take place dragon warrior train new kung fu practitioner spot encounter villain called chameleon conjures villains past,"Animation, Family, Action, Comedy, Adventure, Fantasy"
The Glenarma Tapes,spring 2020 five students two faculty members mid ulster college art go missing forest north coast ireland happened day disappeared remained mystery,Horror
Memoir of a Snail,forcibly separated twin brother orphaned melancholic misfit learns find confidence within amid clutter misfortunes everyday life,"Animation, Drama, Comedy"
Interstellar,adventures group explorers make use newly discovered wormhole surpass limitations human space travel conquer vast distances involved interstellar voyage,"Adventure, Drama, Science Fiction"
The Godfather,spanning years 1945 1955 chronicle fictional italianamerican corleone crime family organized crime family patriarch vito corleone barely survives attempt life youngest son michael steps take care wouldbe killers launching campaign bloody revenge,"Drama, Crime"
Counterattack,hostage rescue mission creates new enemy capt guerrero elite soldiers must face ambush criminal group,"Action, Adventure, Thriller"
The Avengers,unexpected enemy emerges threatens global safety security nick fury director international peacekeeping agency known shield finds need team pull world back brink disaster spanning globe daring recruitment effort begins,"Science Fiction, Action, Adventure"
Anora,young sex worker brooklyn gets chance cinderella story meets impulsively marries son oligarch news reaches russia fairytale threatened parents set get marriage annulled,"Drama, Comedy, Romance"
Panor,born ancient village ritual panor faces isolation mysterious misfortunes plague around must uncover truth behind dark curse haunted since birth,"Horror, Thriller"
The Conjuring,paranormal investigators ed lorraine warren work help family terrorized dark presence farmhouse forced confront powerful entity warrens find caught terrifying case lives,"Horror, Thriller"
The Shawshank Redemption,imprisoned 1940s double murder wife lover upstanding banker andy dufresne begins new life shawshank prison puts accounting skills work amoral warden long stretch prison dufresne comes admired inmates including older prisoner named red integrity unquenchable sense hope,"Drama, Crime"
The Accountant,math savant uncooks books new client treasury department closes activities body count starts rise,"Crime, Thriller, Drama"
My Fault: London,18yearold noah moves america london mother whos recently fallen love william wealthy british businessman noah meets william’s son badboy nick soon discovers attraction neither avoid noah spends summer adjusting new life devastating past catch falling love first time,"Romance, Drama"
Panda Plan,international action star jackie chan invited adoption ceremony rare baby panda international crime syndicate attempts kidnap bear jackie save bear using stunt work skills,"Action, Comedy"
Fast X,many missions impossible odds dom toretto family outsmarted outnerved outdriven every foe path confront lethal opponent ever faced terrifying threat emerging shadows past whos fueled blood revenge determined shatter family destroy everything—and everyone—that dom loves forever,"Action, Crime, Thriller, Adventure, Mystery"
Titanic,101yearold rose dewitt bukater tells story life aboard titanic 84 years later young rose boards ship mother fiancé meanwhile jack dawson fabrizio de rossi win thirdclass tickets aboard ship rose tells whole story titanics departure death—on first last voyage—on april 15 1912,"Drama, Romance"
Demon City,framed familys murder left dead exhitman stop nothing exact revenge masked demons taken city,"Action, Crime, Fantasy, Thriller"
The Edge of the Blade,1887 time duels vogue paris clément lacaze marierose astié meet charismatic master arms feminist far ahead time clément gets caught spiral violence decides initiate marierose art dueling two must work together save face far go defend honor,"Drama, History"
Kiskisan,steamy tale love lust betrayal adeles sister bea returns girlfriend cheska secret affair begins cheska adeles boyfriend rener leading climactic ending caught,Drama
Avengers: Infinity War,avengers allies continued protect world threats large one hero handle new danger emerged cosmic shadows thanos despot intergalactic infamy goal collect six infinity stones artifacts unimaginable power use inflict twisted reality everything avengers fought led moment fate earth existence never uncertain,"Adventure, Action, Science Fiction"
Alien: Romulus,scavenging deep ends derelict space station group young space colonizers come face face terrifying life form universe,"Horror, Science Fiction"
Until Dawn,one year sister melanie mysteriously disappeared clover friends head remote valley vanished search answers exploring abandoned visitor center find stalked masked killer horrifically murdered one oneonly wake find back beginning evening,"Horror, Mystery"
365 Days: This Day,laura massimo back hotter ever reunited couples new beginning complicated massimo’s family ties mysterious man enters laura’s life win heart trust cost,"Romance, Drama"
Mission: Impossible - Fallout,imf mission ends badly world faced dire consequences ethan hunt takes upon fulfill original briefing cia begin question loyalty motives imf team find race time hunted assassins trying prevent global catastrophe,"Action, Adventure"
Peter Pan's Neverland Nightmare,wendy darling strikes attempt rescue brother michael clutches evil peter pan intends send neverland along way meets twisted tinkerbell hooked thinks fairy dust,"Horror, Thriller, Fantasy"
Cleaner,group radical activists take energy companys annual gala seizing 300 hostages exsoldier turned window cleaner suspended 50 storeys outside building must save trapped inside including younger brother,"Action, Thriller"
Oppenheimer,story j robert oppenheimers role development atomic bomb world war ii,"Drama, History"
Companion,weekend getaway secluded lakeside estate group friends finds entangled web secrets deception advanced technology tensions rise loyalties tested uncover unsettling truths world around,"Horror, Science Fiction, Thriller"
Soul to Squeeze,jacobs got problemsdeep mental ones desperate relief volunteers radical treatment escape tortured mind instead peace finds trapped house tunnel subconscious begins path healing becomes harrowing descent memory fractures time distorts reality bends firstofitskind cinematic experience soul squeeze begins boxy 43 aspect ratio ever slowly widens full 2351 final framemirroring jacobs expanding perception risks everything redemption visually daring emotionally raw soul squeeze merges body mind taking audiences perilous journey psyche,"Thriller, Drama, Science Fiction"
Skin. Like. Sun.,reallife young couple wim floor spend afternoon sunwashed rooms crumbling home belgium unique twist artistic erotic documentary edited nearly realtime slowness get build sweetness sexiness forget fingersnapping fast editing slow it’s,Romance
The Codes of War,war stories family ethics honor include true story two us marines span six seconds must stand ground stop suicide truck bomb navy corpsman attempts hold humanity ww2 soldier gets separated squad forced reevaluate code,"Action, War"
Red One,santa claus codename red one kidnapped north poles head security must team worlds infamous tracker globetrotting actionpacked mission save christmas,"Action, Comedy, Fantasy"
Wicked,land oz ostracized misunderstood greenskinned elphaba forced share room popular aristocrat glinda shiz university twos unlikely friendship tested begin fulfill respective destinies glinda good wicked witch west,"Drama, Romance, Fantasy"
Carjackers,day invisible—valets hostesses bartenders luxury hotel night carjackers crew skilled drivers track rob wealthy clients road plan ultimate heist hotel director hires ruthless hitman stop costs danger closing nora zoe steve prestance pull biggest score yet,"Action, Adventure"
The Matrix,set 22nd century matrix tells story computer hacker joins group underground insurgents fighting vast powerful computers rule earth,"Action, Science Fiction"
Deva,dev ambre ruthless cop loses memory accident finished solving murder case reinvestigate keeping memory loss secret everyone except dcp farhan khan,"Action, Thriller, Mystery, Crime"
Barbie,barbie ken time lives colorful seemingly perfect world barbie land however get chance go real world soon discover joys perils living among humans,"Comedy, Adventure"
Detective Chirp & the Golden Beehive,residents honey valley getting ready favorite holiday city day citizens opportunity admire unique artifact golden hive according legend found founders honey valley legend thousands misfortunes fall upon town hive disappears eve holiday beehive kidnapped squirrel chink sophies owl detectives assistant blamed chink friends unravel case find real crook return golden hive also peace valley,"Animation, Comedy, Mystery, Adventure, Family"
Hurry Up Tomorrow,musician plagued insomnia pulled odyssey stranger begins unravel core existence,"Thriller, Music"
The Amateur,life turned upside wife killed london terrorist attack brilliant introverted cia decoder takes matters hands supervisors refuse take action,"Thriller, Action"
Pizza Dare 1,seok wants try perverted sex pesters hyunjin every day hyunjin rejects saying like normal things one day delivering chicken found sora hyunsoo couple enjoys delivery exposures frustrated hyunjin starts neglecting became hooked sora couple recover relationship hyunjin goes date seok call came couple invites sex date wife accept invitation may get lifetime would choice,Romance
Nobody,hutch mansell suburban dad overlooked husband nothing neighbor — nobody two thieves break home one night hutchs unknown longsimmering rage ignited propels brutal path uncover dark secrets fought leave behind,"Action, Thriller"
Dune: Part Two,follow mythic journey paul atreides unites chani fremen path revenge conspirators destroyed family facing choice love life fate known universe paul endeavors prevent terrible future foresee,"Science Fiction, Adventure"
Bad Boys: Ride or Die,late former captain framed lowrey burnett try clear name end run,"Action, Comedy, Crime, Thriller, Adventure"
Superman,superman cub reporter metropolis embarks journey reconcile kryptonian heritage human upbringing clark kent,"Action, Science Fiction"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",siblings lucy edmund susan peter step magical wardrobe find land narnia discover charming peaceful kingdom plunged eternal winter evil white witch jadis aided wise magnificent lion aslan children lead narnia spectacular climactic battle free witchs glacial powers forever,"Adventure, Family, Fantasy"
Harry Potter and the Philosopher's Stone,harry potter lived stairs aunt uncles house whole life 11th birthday learns powerful wizard—with place waiting hogwarts school witchcraft wizardry learns harness newfound powers help schools kindly headmaster harry uncovers truth parents deaths—and villain whos blame,"Adventure, Fantasy"
Batman Ninja vs. Yakuza League,batman family returned present discover japan disappeared giant island hinomoto sky gotham city top sit yakuza group superpowered individuals reign without honor humanity look suspiciously like justice league it’s batman allies save gotham,"Animation, Action"
Plankton: The Movie,planktons tangled love story sentient computer wife goes sideways takes stand — decides destroy world without,"Animation, Adventure, Comedy, Family, Fantasy"
Shrek,aint easy bein green especially likable albeit smelly ogre named shrek mission retrieve gorgeous princess clutches firebreathing dragon shrek teams unlikely compatriot wisecracking donkey,"Animation, Comedy, Fantasy, Adventure, Family"
The Dark Knight,batman raises stakes war crime help lt jim gordon district attorney harvey dent batman sets dismantle remaining criminal organizations plague streets partnership proves effective soon find prey reign chaos unleashed rising criminal mastermind known terrified citizens gotham joker,"Drama, Action, Crime, Thriller"
Babygirl,highpowered ceo puts career family line begins torrid affair much younger intern,Drama
Babygirl,highpowered ceo puts career family line begins torrid affair much younger intern,Drama
Apocalypse Z: The Beginning of the End,kind rabies transforms people aggressive creatures spreads across planet manel isolates home cat relying wits survive soon must go search food land sea dodging many dangers,"Drama, Action, Horror"
Dune,paul atreides brilliant gifted young man born great destiny beyond understanding must travel dangerous planet universe ensure future family people malevolent forces explode conflict planets exclusive supply precious resource existencea commodity capable unlocking humanitys greatest potentialonly conquer fear survive,"Science Fiction, Adventure"
Smile 2,embark new world tour global pop sensation skye riley begins experiencing increasingly terrifying inexplicable events overwhelmed escalating horrors pressures fame skye forced face dark past regain control life spirals control,"Horror, Mystery"
Spider-Man: Across the Spider-Verse,reuniting gwen stacy brooklyn’s fulltime friendly neighborhood spiderman catapulted across multiverse encounters spider society team spiderpeople charged protecting multiverse’s existence heroes clash handle new threat miles finds pitted spiders must set save loves,"Animation, Action, Adventure, Science Fiction"
The Conjuring: The Devil Made Me Do It,paranormal investigators ed lorraine warren encounter would become one sensational cases files fight soul young boy takes beyond anything ever seen mark first time us history murder suspect would claim demonic possession defense,"Horror, Mystery, Thriller"
The Batman,second year fighting crime batman uncovers corruption gotham city connects family facing serial killer known riddler,"Crime, Mystery, Thriller"
The Sloth Lane,terrifying storm destroys home speedy sloth named laura kooky family move big city rusted old food truck gordito hoping make business success familys delicious food catches eye quickwitted cheetah stop nothing revive failing fastfood business,"Animation, Family"
Star Wars,princess leia captured held hostage evil imperial forces effort take galactic empire venturesome luke skywalker dashing captain han solo team together loveable robot duo r2d2 c3po rescue beautiful princess restore peace justice empire,"Adventure, Action, Science Fiction"
The Super Mario Bros. Movie,working underground fix water main brooklyn plumbers—and brothers—mario luigi transported mysterious pipe wander magical new world brothers separated mario embarks epic quest find luigi,"Family, Comedy, Adventure, Animation"
Spider-Man: No Way Home,peter parker unmasked longer able separate normal life highstakes superhero asks help doctor strange stakes become even dangerous forcing discover truly means spiderman,"Action, Adventure, Science Fiction"
The Conjuring: Last Rites,paranormal investigators ed lorraine warren take one last terrifying case involving mysterious entities must confront,Horror
"Miraculous World: London, At the Edge of Time",save future terrible fate marinette becomes chronobug teams bunnyx defeat mysterious opponent travels time new supervillain obsessed exposing marinettes secret superhero identity marinettes hope defeat new opponent prevent end ladybug time,"Animation, Adventure, Action, Fantasy"
Home Sweet Home: Rebirth,city overrun demonicallypossessed crowd cop must find source evil save family,"Horror, Fantasy, Thriller, Mystery, Action"
Coraline,wandering rambling old house boring new town 11yearold coraline discovers hidden door strangely idealized version life order stay fantasy must make frighteningly real sacrifice,"Animation, Family, Fantasy"
Dog Man,faithful police dog human police officer owner injured together job harebrained lifesaving surgery fuses two together dog man born dog man sworn protect serve—and fetch sit roll dog man embraces new identity strives impress chief must stop pretty evil plots feline supervillain petey cat,"Animation, Family, Comedy, Adventure"
Avatar,22nd century paraplegic marine dispatched moon pandora unique mission becomes torn following orders protecting alien civilization,"Action, Adventure, Fantasy, Science Fiction"
Elevation,single father two women venture safety homes face monstrous creatures save life young boy,"Action, Science Fiction, Thriller"
The Maze Runner,set postapocalyptic world young thomas deposited community boys memory erased soon learning trapped maze require join forces fellow “runners” shot escape,"Action, Mystery, Science Fiction, Thriller"
Holy Night: Demon Hunters,devilworshipping criminal network plunges seoul chaos police turn holy night—a trio supernatural demon hunters—to restore order defeat rising evil,"Action, Fantasy, Horror"
"I, the Executioner",veteran detective seo docheol team major crimes relentless pursuit criminals join forces rookie cop park sunwoo track serial killer plunged nation turmoil,"Action, Crime"
Popeye the Slayer Man,curious group friends sneak abandoned spinach canning factory film documentary legend sailor man said haunt factory local docks,Horror
Parasite,unemployed kitaeks family takes peculiar interest wealthy glamorous parks livelihood get entangled unexpected incident,"Comedy, Thriller, Drama"
The Lord of the Rings: The Fellowship of the Ring,young hobbit frodo baggins inheriting mysterious ring uncle bilbo must leave home order keep falling hands evil creator along way fellowship formed protect ringbearer make sure ring arrives final destination mt doom place destroyed,"Adventure, Fantasy, Action"
John Wick: Chapter 4,price head ever increasing john wick uncovers path defeating high table earn freedom wick must face new enemy powerful alliances across globe forces turn old friends foes,"Action, Thriller, Crime"
The Temptation,toni leads normal life wife paola full enthusiasm passion chance meeting young wealthy chiara rekindle desire redeem realize secret dream become artist paths three intertwine dangerous love triangle change course lives forever,Drama
Mission: Impossible - Ghost Protocol,ethan hunt team racing time track dangerous terrorist named hendricks gained access russian nuclear launch codes planning strike united states attempt stop ends explosion causing severe destruction kremlin imf implicated bombing forcing president disavow longer aided government ethan team chase hendricks around globe although might still late stop disaster,"Action, Thriller, Adventure"
Puss in Boots: The Last Wish,puss boots discovers passion adventure taken toll burned eight nine lives leaving one life left puss sets epic journey find mythical last wish restore nine lives,"Animation, Adventure, Fantasy, Comedy, Family"
Fight or Flight,mercenary takes job tracking target plane must protect surrounded people trying kill,"Action, Comedy, Thriller"
